Participant ID, Object Name, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, TimeStamp, Currently Being Held, Block Number, Trial Number, Condition, Ordering
4321,handR,0.2522922,0.8983217,0.1521232,0.3998257,0.3998257,0.3356586,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2083572,0.8290532,0.1329999,-0.5294248,-0.5294248,-0.002430393,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2553217,0.8979822,0.152253,0.3953253,0.3953253,0.3469053,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2088412,0.8281984,0.1333801,-0.5289538,-0.5289538,-0.007213376,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2496524,0.8999333,0.1520622,0.4068016,0.4068016,0.3517492,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2094809,0.8273058,0.1336329,-0.5256847,-0.5256847,-0.005886187,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:14 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2503719,0.9000577,0.1514839,0.4031185,0.4031185,0.3478761,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.208859,0.8269809,0.134437,-0.5298741,-0.5298741,-0.005531651,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2497407,0.9003187,0.1510994,0.4001548,0.4001548,0.350122,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2061597,0.8282673,0.1358524,-0.5433697,-0.5433697,-0.0006005045,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2488283,0.9011148,0.1510011,0.4009912,0.4009912,0.3545893,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2053589,0.8289341,0.135937,-0.5464056,-0.5464056,0.002448067,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2488283,0.9011148,0.1510011,0.4009912,0.4009912,0.3545893,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2053589,0.8289341,0.135937,-0.5464056,-0.5464056,0.002448067,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2488283,0.9011148,0.1510011,0.4009912,0.4009912,0.3545893,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2053589,0.8289341,0.135937,-0.5464056,-0.5464056,0.002448067,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2488283,0.9011148,0.1510011,0.4009912,0.4009912,0.3545893,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2053589,0.8289341,0.135937,-0.5464056,-0.5464056,0.002448067,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,mug1,-0.4651062,0.7832906,0.4349913,7.609588E-06,7.609588E-06,8.211173E-05,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handR,0.2488283,0.9011148,0.1510011,0.4009912,0.4009912,0.3545893,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
4321,handL,-0.2053589,0.8289341,0.135937,-0.5464056,-0.5464056,0.002448067,2023-06-28 12:58:15 PM,False,1,0,VRTactile_Condition2,BCAD
